lat,lon,dist_water,elevation,landcover,rainfall,slope,flood_label
34.786674651864224,73.50488344728211,1214.4263692171708,2502,40,2.8926983,5.8253226,0
34.84237019947963,73.88936238888527,4197.705255739438,3645,60,3.46353,10.955073,0
34.35099173906626,73.0161999327211,14993.44807428398,1368,30,3.4403787,27.114763,0
34.538739633447236,73.39708561318776,4420.575381675798,1806,30,3.8516319,19.434244,0
34.30517765957616,73.26233832056982,14401.290091238085,1352,10,5.0739584,18.93392,0
34.7534369863518,73.27311810397927,18104.688830424137,2738,10,4.530324,31.446451,0
34.321347334690316,73.10064156942832,23420.665820605285,930,40,3.759485,5.5972495,0
34.93938825016454,73.80492075217802,2022.199609278378,3805,30,3.055488,26.637896,0
35.08761027204426,73.96302424218305,688.1237695833687,4099,30,2.9625795,24.596123,0
34.80733590339897,73.73934373643729,6376.720536053142,4061,100,3.003145,49.115803,0
35.10557657772665,73.95583771991011,1428.4846374305184,3955,100,2.7258465,23.344715,0
34.90255732351564,73.5920200298417,2547.248454214861,3893,30,2.7622583,21.542284,0
34.93130341260746,73.92619331553416,808.9189835051469,4213,100,2.5399,42.583336,0
34.58635034350557,72.82396046191951,835.5266309200218,1034,10,3.2805872,22.83356,0
34.813624110387806,73.79144602291623,6168.194872359209,4318,60,3.1784463,46.41394,0
34.50280702208245,73.41864518000662,6219.345245538561,1939,30,3.6074317,30.78905,0
34.906150584652124,73.53542616694216,3076.748962734448,3327,30,3.0836508,23.378777,0
34.35817826133921,72.93175829601387,6841.648654278715,2010,10,3.3163195,27.650644,0
34.820810632660766,73.7950392840527,5582.438764865814,4220,30,3.1784463,51.40648,0
34.37344962116924,73.05842075107472,19576.545339205502,884,30,3.5719655,14.486083,0
34.501010391514214,73.1320826043725,21818.62993423352,1264,10,3.6249073,21.231472,0
34.307872605428514,72.93535155715034,6756.41714206992,1634,50,3.4103994,10.449406,0
34.708521222145826,73.43481485512078,5113.23579286517,2667,10,2.8700562,36.890854,0
34.81901400209253,73.46176431364438,5006.243828999005,3499,30,3.7955775,18.652061,0
35.116356361136084,74.05105914002678,1177.8821139715394,4138,30,1.5875208,5.4129996,0
34.43723000634173,72.87336780254608,4112.85977339673,1565,30,3.2912567,41.18636,0
34.2979911373032,72.87067285669372,1014.942980137154,756,30,3.4036262,23.674475,0
